Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-B,17,1575.293,C,"great, you're almost done",,
RI-B,17,1595.557,P,"ok great, what is next?",Statement,
RI-B,17,1602.539,C,Move to Crate 3,,
RI-B,17,1633.677,P,i'm at crate 3,Statement,
RI-B,17,1637.072,C,ok,,
RI-B,17,1647.897,P,it is closed,Statement,
RI-B,17,1654.697,P,what is the code,WHQ,Query: Request Teaching: Target
RI-B,17,1657.221,C,The code for crate 3 is 2580,,
RI-B,17,1678.237,P,i've opened the crate,Statement,
RI-B,17,1691.858,C,Pick up the mechano calibrator from Crate 3,,
RI-B,17,1762.957,P,I have the item ,Statement,
RI-B,17,1768.419,C,Can I answer any questions for you?,,
RI-B,17,1781.237,P,What do I do with the item?,WHQ,Query: Goal-Related
RI-B,17,1784.794,C,Move to locker Y,,
RI-B,17,1795.017,P,where is locker y?,WHQ,Query: Location-Related
RI-B,17,1800.409,C,locker y is the grey lcoker,,
RI-B,17,1833.097,P,I'm at the grey locker,Statement,
RI-B,17,1849.217,P,what next?,WHQ,Query: Goal-Related
RI-B,17,1853.532,C,Place the mechano calibrator on the bottom shelf,,
RI-B,17,1870.497,P,ok done,Statement,
RI-B,17,1892.695,C,great,,
RI-B,17,1900.537,P,whats next?,WHQ,Query: Goal-Related
RI-B,17,1905.835,C,"The tesla capacitor goes in the secondary cabinet, shelf B",,
RI-B,17,1923.317,P,what does it look like?,WHQ,Query: Object Description: General
RI-B,17,1939.623,C,Capacitors are cylinder-shaped storage containers.,,
RI-B,17,1960.837,P,where is it?,WHQ,Query: Location-Related
RI-B,17,1984.411,C,"I am not sure, if you don't see it, it may be locked in a container",,
RI-B,17,1999.157,P,I have the item,Statement,
RI-B,17,2042.478,C,great,,
RI-B,17,2043.517,P,where is shelf b,WHQ,Query: Location-Related
RI-B,17,2062.564,C,shelf b is the top right shelf,,
RI-B,17,2084.097,P,what color is the capacitor?,WHQ,Query: Object Description: Color
RI-B,17,2090.372,C,it is green,,
RI-B,17,2177.265,C,Can I answer any questions for you?,,
RI-B,17,2178.117,P,what color is the secondary cabinet?,WHQ,Query: Object Description: Color
RI-B,17,2184.023,C,it is the one with brown doors,,
RI-B,17,2226.477,P,ok i've placed it on the shelf,Statement,
RI-B,17,2231.073,C,ok great,,
RI-B,17,2234.616,C,one more item to go,,
RI-B,17,2239.317,P,ok,Statement,
RI-B,17,2263.917,P,whats next?,WHQ,Query: Goal-Related
RI-B,17,2266.827,C,"The temporal emitter goes in the secondary cabinet, shelf D",,
RI-B,17,2288.977,P,what does the emitter look like,WHQ,Query: Object Description: General
RI-B,17,2296.395,C,Emitters are storage blocks with a pattern on the front. There are 3 of them.,,
RI-B,17,2326.777,P,what is the pattern?,WHQ,Query: Object Description: Pattern
RI-B,17,2344.232,C,it has a circle on it,,
RI-B,17,2390.677,P,I have th emitter,Statement,
RI-B,17,2395.781,C,great,,
RI-B,17,2437.73,C,Can I answer any questions for you?,,
RI-B,17,2438.857,P,where is shelf d,WHQ,Query: Location-Related
RI-B,17,2445.285,C,shelf d is the bottom right one,,
RI-B,17,2478.777,P,ok I've placed the item,Statement,
RI-B,17,2489.915,C,"great, you are done",,
