Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-C,24,982.3358,C,"To open a locker, use the nearby panel. Insert the bypass and flip the switch to the On position ",,
RI-C,24,988.7914,C,"To open locker Z, move the nozzle to red and press the red button",,
RI-C,24,1057.54,P,where is the bypass?,WHQ,Query: Location-Related
RI-C,24,1063.715,C,The bypass is a small block that should be near the lockers. It goes in the panel,,
RI-C,24,1132.5,P,where does the tesla capacitor go?,WHQ,Query: Location-Related
RI-C,24,1156.499,C,"secondary cabinet, shelf B",,
RI-C,24,1178.26,P,is shelf b on the top or bottom?,AQ,Confirm Object by Location: Spatial
RI-C,24,1185.289,C,its the top right shelf,,
RI-C,24,1209.68,P,what car combination opens the shavles?,WHQ,Query: Request Teaching: Target
RI-C,24,1212.92,P,card*,,
RI-C,24,1219.909,C,"The keycard order for the left cabinet door is: red, blue, brown. Then press the red button. ",,
RI-C,24,1224.205,C,"The keycard order for the right cabinet door is: blue, brown, gray. Then press the red button. ",,
RI-C,24,1284.82,P,where does the opimized synthesizer go?,WHQ,Query: Location-Related
RI-C,24,1296.905,C,"The optimized synthesizer goes in the primary cabinet, shelf B",,
RI-C,24,1299.34,P,this is like a really slow version of Myst,Statement,
RI-C,24,1322.5,P,what color is the primary cabinet?,WHQ,Query: Object Description: Color
RI-C,24,1333.01,C,it is the one with grey doors,,
RI-C,24,1344.26,P,"greay cabinet, top shelf, left side",Statement,
RI-C,24,1350.02,P,grey*,,
RI-C,24,1369.464,C,shelf b is top right side,,
RI-C,24,1404.48,P,what color is the secondary cabinet?,WHQ,Query: Object Description: Color
RI-C,24,1409.627,C,it has brown doors,,
RI-C,24,1473,P,what is the combination to the box with a gold circle at the bottom?,WHQ,Query: Request Teaching: Target
RI-C,24,1482.998,C,The code for crate 2 is 5678,,
RI-C,24,1496.72,P,what is the combination for crate 3?,WHQ,Query: Request Teaching: Target
RI-C,24,1504.305,C,The code for crate 3 is 2580,,
RI-C,24,1535.98,P,where does the sonic optimizer go?,WHQ,Query: Location-Related
RI-C,24,1549.665,C,"secondary cabinet, shelf A",,
RI-C,24,1568.92,P,is shelf A top left?,YNQ,Confirm Object by Location: Spatial
RI-C,24,1571.818,C,yes,,
RI-C,24,1643.62,P,so the secondary cabinet has both the sonic opimizer and tesla capacitor on the top shelves,Statement,
RI-C,24,1653.643,C,correct,,
RI-C,24,1673.68,P,"and the secondary cabinet has brown doors, not grey",Statement,
RI-C,24,1684.104,C,that's correct,,
RI-C,24,1700.8,P,where does the mechano calibrator go?,WHQ,Query: Goal-Related
RI-C,24,1715.22,C,"The mechano calibrator goes in locker Y, bottom shelf",,
RI-C,24,1733.02,P,what color is locker y?,WHQ,Query: Object Description: Color
RI-C,24,1735.54,P,grey?,YNQ,Query: Other
RI-C,24,1736.21,C,grey,,
RI-C,24,1770.1,P,where does the temporal emitter go?,WHQ,Query: Goal-Related
RI-C,24,1784.479,C,"secondary cabinet, shelf D",,
RI-C,24,1798.8,P,shelf D is bottom right?,YNQ,Confirm Object by Location: Spatial
RI-C,24,1801.392,C,yes,,
RI-C,24,1843.8,P,"do I need to close any of the shelves, lockers or crates?",YNQ,Query: Goal-Related
RI-C,24,1849.098,C,"nope, you are finished",,
