Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
CI-B,5,1252.557,C,It is green,,
CI-B,5,1297.667,P,where is it,WHQ,Query: Location-Related
CI-B,5,1311.879,C,"If you do not see it, it may be locked in one of the containers.",,
CI-B,5,1326.987,P,how do i open the left door of the main cabinet,WHQ,Query: Request Teaching: Target
CI-B,5,1336.733,C,"The keycard order for the left cabinet door is: red, blue, brown. Then press the red button. ",,
CI-B,5,1368.327,P,where do i pue the green thing,WHQ,Query: Location-Related
CI-B,5,1377.095,C,"The tesla capacitor goes in the secondary cabinet, shelf B",,
CI-B,5,1386.167,P,is that on the left,YNQ,Confirm Object by Location: Spatial
CI-B,5,1392.599,C,It is the top right shelf,,
CI-B,5,1404.247,P,done,Statement,
CI-B,5,1410.896,C,"Great, last one",,
CI-B,5,1413.152,C,"The temporal emitter goes in the secondary cabinet, shelf D",,
CI-B,5,1413.887,P,ok,Statement,
CI-B,5,1439.227,P,what is the temporal emitter,WHQ,Query: Object Identification
CI-B,5,1453.945,C,Emitters are large storage blocks with a pattern on the front. There are 3 of them.,,
CI-B,5,1471.407,P,what color is it,WHQ,Query: Object Description: Color
CI-B,5,1481.502,C,They are all the same color - red,,
CI-B,5,1502.207,P,which size,WHQ,Query: Object Description: Size
CI-B,5,1517.885,C,it is the smallest one,,
CI-B,5,1548.667,P,am i supposed to put the names of every item in the notes?,YNQ,Confirm Action: Task-Related
CI-B,5,1559.677,C,"No, that's only to help you",,
CI-B,5,1571.367,P,ok. where is shelf d,Statement,
CI-B,5,1588.718,C,shelf d is the bottom right one,,
CI-B,5,1594.987,P,done,Statement,
CI-B,5,1608.41,C,OK you are finished,,
