Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-B,23,1354.625,P,Okay how do I open B side,WHQ,Query: Request Teaching: Target
RI-B,23,1360.363,C,"The keycard order for the right cabinet door is: blue, brown, gray. Then press the red button. ",,
RI-B,23,1410.645,P,Okay Placed,Statement,
RI-B,23,1413.074,C,great,,
RI-B,23,1420.205,P,Where does the square with the circle in the middle go,WHQ,Query: Location-Related
RI-B,23,1438.498,C,that is the temporal emitter,,
RI-B,23,1441.264,C,"The temporal emitter goes in the secondary cabinet, shelf D",,
RI-B,23,1451.725,P,Shelf D is bottom right?,YNQ,Confirm Object by Location: Spatial
RI-B,23,1455.729,C,yes,,
RI-B,23,1471.285,P,Placed,Statement,
RI-B,23,1476.398,C,"great, you are almost done",,
RI-B,23,1492.345,P,What item do I need next,WHQ,Query: Goal-Related
RI-B,23,1503.528,C,next is the megaband module,,
RI-B,23,1535.865,P,Does it look kind of like the ,,
RI-B,23,1545.985,P,Does it look kind of like the sonic optimizer without the grid on it,YNQ,Confirm Object by Feature: Comparison
RI-B,23,1560.423,C,yes that is about right,,
RI-B,23,1573.045,P,What pattern do I need,WHQ,Query: Object Description: Pattern
RI-B,23,1579.62,C,it is striped,,
RI-B,23,1589.465,P,Found it where does it need to go,Statement,
RI-B,23,1600.474,C,"The megaband module goes in locker Z, top shelf",,
RI-B,23,1668.045,P,"Red locker top shelf, placed",Statement,
RI-B,23,1675.081,C,"great, one more to go",,
RI-B,23,1683.725,P,Okay what's the next item,WHQ,Query: Goal-Related
RI-B,23,1697.876,C,next one is the tesla capacitor,,
RI-B,23,1710.645,P,Do I need the pink grey or green one,AQ,Confirm Object by Feature: Color
RI-B,23,1719.8,C,the green one,,
RI-B,23,1751.865,P,Okay I think that one is locked in theother door of the primary cabinet ,Statement,
RI-B,23,1758.254,C,right,,
RI-B,23,1767.705,P,What sequence of cards to open it?,WHQ,Query: Request Teaching: Target
RI-B,23,1769.363,C,"The keycard order for the left cabinet door is: red, blue, brown. Then press the red button. ",,
RI-B,23,1812.265,P,Okay I have the tesla capacitor,Statement,
RI-B,23,1815.694,C,great,,
RI-B,23,1825.525,P,Where do I put it,WHQ,Query: Location-Related
RI-B,23,1828.565,C,"The tesla capacitor goes in the secondary cabinet, shelf B",,
RI-B,23,1867.385,P,Shelf b is top right?,YNQ,Confirm Object by Location: Spatial
RI-B,23,1871.174,C,yes,,
RI-B,23,1876.245,P,Okay Placed,Statement,
RI-B,23,1886.254,C,"great, you are done",,
