Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
CI-B,14,1117.902,P,code for crate 3?,WHQ,Query: Request Teaching: Target
CI-B,14,1125.331,C,The code for crate 3 is 2580,,
CI-B,14,1134.405,C,Pick up the mechano calibrator from Crate 3,,
CI-B,14,1139.382,P,next?,WHQ,Query: Goal-Related
CI-B,14,1140.967,C,Move to locker Y,,
CI-B,14,1158.843,P,which color is that?,WHQ,Query: Object Description: Color
CI-B,14,1162.573,C,grey,,
CI-B,14,1170.922,P,how do i open?,WHQ,Query: Request Teaching: Target
CI-B,14,1181.441,C,"To open locker Y, move the switch to gray and press the gray button",,
CI-B,14,1199.703,P,done,Statement,
CI-B,14,1200.971,C,Place the mechano calibrator on the bottom shelf,,
CI-B,14,1206.642,P,done,Statement,
CI-B,14,1212.903,C,great,,
CI-B,14,1214.311,C,"The tesla capacitor goes in the secondary cabinet, shelf B",,
CI-B,14,1226.603,P,which object is that?,WHQ,Query: Object Identification
CI-B,14,1230.519,C,Capacitors are cylinder-shaped storage containers.,,
CI-B,14,1259.703,P,what color?,WHQ,Query: Object Description: Color
CI-B,14,1267.869,C,they are all different colors,,
CI-B,14,1279.382,P,where is the tesla capacitor?,WHQ,Query: Location-Related
CI-B,14,1290.409,C,"I am not sure. if you do not see it, it may be locked in a container",,
CI-B,14,1306.662,P,i see it open in container a,Statement,
CI-B,14,1312.329,C,ok,,
CI-B,14,1336.703,P,done,Statement,
CI-B,14,1353.165,C,great,,
CI-B,14,1356.369,C,"The temporal emitter goes in the secondary cabinet, shelf D",,
CI-B,14,1382.282,P,what does the temp emitter look like? what color?,WHQ,Query: Object Description: General
CI-B,14,1394.65,C,"Emitters are storage blocks with a pattern on the front. There are 3 of them, and they are all the same color - red",,
CI-B,14,1412.262,P,which do i pick up?,WHQ,Query: Goal-Related
CI-B,14,1433.036,C,I cannot see your screen so please rephrase your question,,
CI-B,14,1450.022,P,there are multiple size emitters,Statement,
CI-B,14,1454.502,P,which do i pick up,WHQ,Query: Goal-Related
CI-B,14,1457.762,P,and from where?,WHQ,Query: Location-Related
CI-B,14,1457.997,C,it is the smaller one,,
CI-B,14,1479.083,P,how do i get to shelf d?,WHQ,Query: Request Teaching: Target
CI-B,14,1488.547,C,that's the bottom right one,,
CI-B,14,1534.682,P,done,Statement,
CI-B,14,1539.257,C,great you are done!,,
