Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-C,21,902.5004,P,"alright, I put the tesla capictor in the top right. ",Statement,
RI-C,21,906.766,C,great,,
RI-C,21,917.8604,P,what does the temporal emitter look like? ,WHQ,Query: Object Description: General
RI-C,21,927.2083,C,Emitters are storage blocks with a pattern on the front. There are 3 of them.,,
RI-C,21,956.1604,P,do I need to get all 3? ,YNQ,Confirm Action: Task-Related
RI-C,21,968.6067,C,"no, just one of them",,
RI-C,21,1000.62,P,"alright, I have one with blue lines and a yellow square in the middle. It is a red box. Is this good? ",Statement,
RI-C,21,1015.398,C,"it is a red box, but it has a circle on it",,
RI-C,21,1054.02,P,ok. where should I put it? ,WHQ,Query: Location-Related
RI-C,21,1056.638,C,Move to the secondary cabinet,,
RI-C,21,1063.32,C,Place the temporal emitter on shelf D,,
RI-C,21,1069.96,P,Is that bottom right? ,YNQ,Confirm Object by Location: Spatial
RI-C,21,1073.615,C,yes,,
RI-C,21,1111.4,P,"there is an item in D, should I move it out?",YNQ,Confirm Action: Task-Related
RI-C,21,1118.708,C,yes,,
RI-C,21,1134.7,P,ok. that one is done.,Statement,
RI-C,21,1138,C,great,,
RI-C,21,1149.84,P,megaband module is next. what does it look like? ,Statement,
RI-C,21,1160.709,C,Modules are scanning tools with a trigger and glowing lines in the front. There are 3 of them.,,
RI-C,21,1189.16,P,"ok, which one should I get? ",WHQ,Query: Goal-Related
RI-C,21,1211.461,C,the megaband module is striped,,
RI-C,21,1246.82,P,with a blue square near the top? ,YNQ,"Confirm Object by Feature: Color, Symbol"
RI-C,21,1251.396,C,yes,,
RI-C,21,1259.58,P,"ok, where should I put it?",WHQ,Query: Location-Related
RI-C,21,1262.219,C,"The megaband module goes in locker Z, top shelf",,
RI-C,21,1299.88,P,what color is Z? ,YNQ,Confirm Object by Feature: Color
RI-C,21,1310.897,C,its the red one,,
RI-C,21,1340.24,P,ok. done ,Statement,
RI-C,21,1351.18,C,"great, you're almost done",,
RI-C,21,1359.48,P,what is the next item? ,WHQ,Query: Goal-Related
RI-C,21,1371.053,C,next is the optimized synthesizer,,
RI-C,21,1388.3,P,what does it look like?,WHQ,Query: Object Description: General
RI-C,21,1401.62,C,Synthesizers are measurement tools with a number display and dial. There are 3 of them.,,
RI-C,21,1432.68,P,ok. which one should I get? ,WHQ,Query: Goal-Related
RI-C,21,1453.851,C,it is blue,,
RI-C,21,1467.36,P,alright. where does it go?,WHQ,Query: Location-Related
RI-C,21,1480.793,C,"The optimized synthesizer goes in the primary cabinet, shelf B",,
RI-C,21,1492.66,P,is that top right? ,YNQ,Confirm Object by Location: Spatial
RI-C,21,1506.729,C,yes,,
RI-C,21,1521.66,P,ok. done.,Statement,
RI-C,21,1524.78,P,next? ,WHQ,Query: Goal-Related
RI-C,21,1532.172,C,Move to Crate 2,,
RI-C,21,1544.6,P,ok,Statement,
RI-C,21,1546.362,C,Pick up the sonic optimizer from Crate 2,,
RI-C,21,1558.26,P,ok,Statement,
RI-C,21,1560.2,C,Move to the secondary cabinet,,
RI-C,21,1582.932,C,Place the sonic optimizer on shelf A,,
RI-C,21,1611.52,P,does it have a Plus on it? ,YNQ,Confirm Object by Feature: Symbol
RI-C,21,1615.141,C,yes,,
RI-C,21,1640.68,P,ok. done.,Statement,
RI-C,21,1656.498,C,great,,
RI-C,21,1667.3,P,last one? ,WHQ,Query: Goal-Related
RI-C,21,1676.459,C,"The mechano calibrator goes in locker Y, bottom shelf",,
RI-C,21,1693.5,P,what does it look like?,WHQ,Query: Object Description: General
RI-C,21,1702.922,C,Calibrators are tube-like coils used for connecting electrical components. There are 3 of them.,,
RI-C,21,1739.82,P,what color? ,WHQ,Query: Object Description: Color
RI-C,21,1746.734,C,it is a white/camouflage color,,
RI-C,21,1780.62,P,ok. location?,Statement,
RI-C,21,1787.763,C,"The mechano calibrator goes in locker Y, bottom shelf",,
RI-C,21,1789.24,P,gray locker? ,YNQ,Confirm Object by Feature: Color
RI-C,21,1792.229,C,yes,,
RI-C,21,1797.74,P,alright. done.,Statement,
RI-C,21,1806.667,C,great,,
