Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
CI-C,11,962.2668,P,top right shelf?,YNQ,Confirm Action: Task-Related
CI-C,11,965.1155,C,yes,,
CI-C,11,971.2668,P,done,Statement,
CI-C,11,975.1106,C,great,,
CI-C,11,977.8561,C,Move to Crate 2,,
CI-C,11,1015.247,P,left right or middle?,AQ,Confirm Object by Location: Spatial
CI-C,11,1019.585,C,it's the middle one,,
CI-C,11,1025.747,P,whats the code?,WHQ,Query: Request Teaching: Target
CI-C,11,1036.983,C,The code for crate 2 is 5678,,
CI-C,11,1048.887,P,ok,Statement,
CI-C,11,1053.35,C,Pick up the sonic optimizer from Crate 2,,
CI-C,11,1067.887,P,ok,Statement,
CI-C,11,1070.049,C,Move to the secondary cabinet,,
CI-C,11,1093.747,P,which spot,WHQ,Query: Location-Related
CI-C,11,1095.334,C,Place the sonic optimizer on shelf A,,
CI-C,11,1109.867,P,done,Statement,
CI-C,11,1114.187,C,"great, last one",,
CI-C,11,1116.416,C,"The mechano calibrator goes in locker Y, bottom shelf",,
CI-C,11,1129.847,P,color?,WHQ,Query: Object Description: Color
CI-C,11,1135.587,P,of calibrator,,
CI-C,11,1142.96,C,It is a camouflage color,,
CI-C,11,1167.707,P,does it have numbers?,YNQ,Confirm Object by Feature: Other
CI-C,11,1173.204,C,No,,
CI-C,11,1209.727,P,blue glowing lines?,YNQ,Confirm Object by Feature: Pattern
CI-C,11,1213.206,C,No,,
CI-C,11,1242.767,P,pink camo?,YNQ,Confirm Object by Feature: Color
CI-C,11,1250.874,C,"No, it is not pink",,
CI-C,11,1267.287,P,is it like a snake,YNQ,Confirm Object by Feature: Comparison
CI-C,11,1270.917,C,Yes,,
CI-C,11,1285.667,P,green or yellow,AQ,Confirm Object by Feature: Color
CI-C,11,1290.159,C,Neither,,
CI-C,11,1310.227,P,where is it located,WHQ,Query: Location-Related
CI-C,11,1323.616,C,"I am not sure. If you don't see it, it may be locked in a container",,
CI-C,11,1336.447,P,what is left crate code,WHQ,Query: Request Teaching: Target
CI-C,11,1340.267,P,i mean right,,
CI-C,11,1342.888,C,The code for crate 3 is 2580,,
CI-C,11,1373.647,P,where to put it?,WHQ,Query: Location-Related
CI-C,11,1380.083,C,locker y bottom shelf,,
CI-C,11,1390.487,P,done,Statement,
CI-C,11,1397.146,C,"ok great, you are finished",,
