Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-A,9,1683.787,C,The megaband module on the alpha platform,,
RI-A,9,1750.167,P,"z locker, top or bottom shelf ?",YNQ,Confirm Object by Location: Spatial
RI-A,9,1752.37,C,Place the megaband module on the top shelf,,
RI-A,9,1780.507,P,too large,Statement,
RI-A,9,1788.725,C,You might have the wrong object. The correct one will fit,,
RI-A,9,1820.067,P,alpha platform is the one on the right ?,YNQ,Confirm Object by Location: Spatial
RI-A,9,1824.199,C,correct,,
RI-A,9,1848.367,P,done,Statement,
RI-A,9,1857.907,C,"great, one more to go",,
RI-A,9,1877.627,P,ok,Statement,
RI-A,9,1893.926,C,can I answer any questions for you?,,
RI-A,9,1906.867,P,what should I look for now ?,WHQ,Query: Goal-Related
RI-A,9,1925.518,C,The last one is the optimized synthesizer,,
RI-A,9,1937.707,P,how does it look like ?,WHQ,Query: Object Description: General
RI-A,9,1945.945,C,Synthesizers are measurement tools with a number display and dial. There are 3 of them.,,
RI-A,9,1968.287,P,what color is it ?,WHQ,Query: Object Description: Color
RI-A,9,1973.315,C,It's blue,,
RI-A,9,2026.767,P,are all synthesizers blue ?,WHQ,Query: Request Teaching: General
RI-A,9,2033.859,C,"No, they vary in color",,
RI-A,9,2046.067,P,is one of them yellow ?,YNQ,Confirm Object by Feature: Color
RI-A,9,2049.873,C,yes,,
RI-A,9,2059.207,P,got it,Statement,
RI-A,9,2065.117,C,great,,
RI-A,9,2073.727,P,where does it go ?,WHQ,Query: Location-Related
RI-A,9,2079.416,C,"primary cabinet, shelf B",,
RI-A,9,2113.927,P,top shelves in prime cabinets won't open right ?,YNQ,Confirm Action: Task-Related
RI-A,9,2120.959,C,They are locked,,
RI-A,9,2137.467,P,so shelf B it's the bottm right one ?,YNQ,Confirm Object by Location: Spatial
RI-A,9,2143.374,C,it's the top right one,,
RI-A,9,2143.707,P,left i mean,Statement,
RI-A,9,2158.907,P,I thought they don't open,Statement,
RI-A,9,2164.193,C,"To open the primary cabinet, arrange the keycards in the right order on the panel. ",,
RI-A,9,2235.787,P,what's the correct order ?,WHQ,Query: Request Teaching: Target
RI-A,9,2238.842,C,"The keycard order for the right cabinet door is: blue, brown, gray. Then press the red button. ",,
RI-A,9,2286.347,P,done,Statement,
RI-A,9,2297.494,C,"Great, you are finished!",,
