Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
CI-A,13,1303.884,P,where is the alpha platform,WHQ,Query: Location-Related
CI-A,13,1311.132,C,it's the rightmost one in a set of 3,,
CI-A,13,1340.304,P,is it in front of a window,YNQ,Confirm Object by Location: Landmark
CI-A,13,1346.024,C,yes,,
CI-A,13,1355.644,P,ok i'm there,Statement,
CI-A,13,1356.848,C,Pick up the megaband module,,
CI-A,13,1374.044,P,does it have stripes,YNQ,Confirm Object by Feature: Color
CI-A,13,1376.601,C,yes,,
CI-A,13,1443.264,P,ok i have it,Statement,
CI-A,13,1445.221,C,Move to locker Z,,
CI-A,13,1478.804,P,what color is locker z,WHQ,Query: Object Description: Color
CI-A,13,1481.018,C,red,,
CI-A,13,1510.044,P,do i put it on the bottom shelf,YNQ,Confirm Action: Task-Related
CI-A,13,1512.821,C,Place the megaband module on the top shelf,,
CI-A,13,1536.004,P,ok it is on the top shelf,Statement,
CI-A,13,1537.511,C,"great, last one",,
CI-A,13,1540.665,C,Move to the Delta platform ,,
CI-A,13,1585.404,P,which is the delta platform,WHQ,Query: Object Identification
CI-A,13,1592.334,C,it's the middle one in a set of 3,,
CI-A,13,1623.484,P,is it next to the alpha platform,YNQ,Confirm Object by Location: Landmark
CI-A,13,1627.945,C,no,,
CI-A,13,1670.422,C,you're there?,,
CI-A,13,1688.984,P,i think so is it in front of some colorful pipes or circuits,Statement,
CI-A,13,1693.71,C,correct,,
CI-A,13,1695.191,C,Pick up the optimized synthesizer,,
CI-A,13,1705.016,C,Move to the primary cabinet,,
CI-A,13,1733.064,C,Place the optimized synthesizer on shelf B,,
CI-A,13,1745.944,P,which is shelf b,WHQ,Query: Object Identification
CI-A,13,1751.791,C,top right shelf,,
CI-A,13,1796.864,P,how do i get the door open,WHQ,Query: Request Teaching: General
CI-A,13,1800.416,C,"To open the primary cabinet, arrange the keycards in the right order on the panel. ",,
CI-A,13,1805.696,C,"The keycard order for the right cabinet door is: blue, brown, gray. Then press the red button. ",,
CI-A,13,1834.015,C,Place the optimized synthesizer on shelf B,,
CI-A,13,1837.724,P,ok it is on the shelf,Statement,
CI-A,13,1845.471,C,"great, you are done!",,
